repositorio,loc_total,comentarios_total,cbo_total,dit_total,lcom_total,arquivos_java,loc_media_por_arquivo,comentarios_media_por_arquivo
jetcache,18021,3586,2691,730,7095,446,40.41,8.04
lottie-android,17883,11497,2021,377,9790,293,61.03,39.24
aurora-imui,17789,13184,1644,523,17192,342,52.01,38.55
maxwell,17755,2543,1906,506,10027,312,56.91,8.15
SpringBoot-Labs,17714,7569,6288,1541,2112,1463,12.11,5.17
cglib,17670,21009,1602,763,130375,498,35.48,42.19
LQRWeChat,17612,6624,1932,547,7309,386,45.63,17.16
moco,17542,1271,3358,888,19997,577,30.4,2.2
akhq,17372,7135,2502,394,8848,305,56.96,23.39
cryptomator,17289,2237,3684,633,8201,443,39.03,5.05
jeepay,17168,17227,4869,981,2360,550,31.21,31.32
mosby,17138,16085,3562,1067,6380,662,25.89,24.3
uncle-novel,16991,10927,1961,446,2802,269,63.16,40.62
JsonPath,16468,5620,1677,547,10779,368,44.75,15.27
paascloud-master,16428,25562,4529,976,4049,742,22.14,34.45
UltimateRecyclerView,16083,20958,1992,647,15812,382,42.1,54.86
SimianArmy,16056,12955,1783,434,7674,305,52.64,42.48
jjwt,16052,34085,3121,1107,14338,555,28.92,61.41
AndroidHttpCapture,15900,15287,1494,449,11730,317,50.16,48.22
FlexibleAdapter,15853,107510,1964,689,33353,326,48.63,329.79
reactive-streams-jvm,15738,29889,1433,586,9334,459,34.29,65.12
shardingsphere-elasticjob,15586,13867,3256,688,1903,596,26.15,23.27
RxAndroidBle,15479,11565,2563,627,25511,477,32.45,24.25
blade,15319,7725,1419,379,12942,307,49.9,25.16
novel-plus,15305,5320,2650,495,19071,409,37.42,13.01
mpush,15032,12686,1883,535,9777,398,37.77,31.87
Android-ZBLibrary,14727,19864,1710,496,8480,318,46.31,62.47
awesome-low-level-design,14591,785,2082,902,2417,792,18.42,0.99
MagicCamera,14543,2191,1247,516,2686,352,41.32,6.22
material-theme-jetbrains,14517,13447,1546,805,30139,357,40.66,37.67
flink-learning,14454,8540,2534,669,1954,592,24.42,14.43
jvm-sandbox,14407,16106,1515,577,5377,435,33.12,37.03
FileDownloader,14387,13563,1218,454,11302,269,53.48,50.42
mall-learning,14384,2336,1238,275,57148,249,57.77,9.38
jsonschema2pojo,14294,8656,1816,309,21053,271,52.75,31.94
smartTable,14165,8258,1866,433,9438,364,38.91,22.69
IJPay,14136,12758,1526,374,38057,273,51.78,46.73
vlayout,14042,16383,845,295,11534,159,88.31,103.04
disconf,14009,14129,1886,577,5362,425,32.96,33.24
android-maps-utils,13857,19304,1551,365,8147,218,63.56,88.55
APIJSON,13844,8882,412,87,81590,70,197.77,126.89
datax-web,13801,5090,1598,440,4197,317,43.54,16.06
spring-boot-admin,13740,11272,3602,583,3347,464,29.61,24.29
AndroidPicker,13541,13682,1299,393,12360,239,56.66,57.25
SpringCloud-Learning,13492,6198,1834,326,8965,312,43.24,19.87
leetcode-editor,13421,1428,1905,523,6061,301,44.59,4.74
okhttp-OkGo,13418,11342,2040,586,7020,361,37.17,31.42
learning-note,13368,9460,1444,772,1904,658,20.32,14.38
blossom,13365,12891,2490,585,3035,435,30.72,29.63
FirebaseUI-Android,13274,10344,2780,556,3504,284,46.74,36.42
config,13186,10147,1095,411,15236,200,65.93,50.74
disruptor,13167,14340,1837,529,10612,410,32.11,34.98
react-native-svg,13066,7438,1427,577,19170,218,59.94,34.12
DanmakuFlameMaster,12879,4069,888,277,8171,172,74.88,23.66
smart-admin,12870,11063,3669,702,2168,572,22.5,19.34
SSM,12864,1887,695,251,24155,218,59.01,8.66
springside4,12842,11213,997,402,7807,315,40.77,35.6
Java-WebSocket,12805,11483,928,475,9558,261,49.06,44.0
google-java-format,12753,15469,945,235,11022,165,77.29,93.75
scribejava,12671,2903,2079,692,5402,494,25.65,5.88
Android-ObservableScrollView,12621,7669,1680,659,2536,335,37.67,22.89
ipscan,12598,5608,1910,638,1590,383,32.89,14.64
xUtils3,12561,3820,1139,307,5984,218,57.62,17.52
zfile,12385,7251,2902,623,3914,414,29.92,17.51
XPopup,12348,10584,1435,481,6985,305,40.49,34.7
JSON-java,12228,14069,290,111,32858,91,134.37,154.6
Android-IMSI-Catcher-Detector,12171,11839,1270,334,1246,251,48.49,47.17
