file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_sorting\quick_sort.java,chapter_sorting.QuickSortTailCall,class,2,4,2,2,10,1,0,3,3,0.0,0.0,0.0,3,3,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,5,30,1,4,0,0,0,0,4,8,6,4,2,0,0,0,13,0,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_backtracking\n_queens.java,chapter_backtracking.n_queens,class,2,3,1,2,13,1,0,10,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,51,2,6,1,0,0,7,11,20,11,14,2,0,0,0,23,1,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_greedy\max_capacity.java,chapter_greedy.max_capacity,class,2,3,1,2,4,1,0,4,1,0.0,0.0,0.0,2,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,22,1,1,0,0,1,1,11,7,4,6,2,0,0,0,10,1,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_tree\binary_tree_bfs.java,chapter_tree.binary_tree_bfs,class,3,4,1,3,5,1,0,10,1,0.0,0.0,0.0,2,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,21,1,1,2,0,0,2,7,5,1,5,2,0,0,0,14,1,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_tree\avl_tree.java,chapter_tree.AVLTree,class,2,4,2,2,31,1,0,9,49,0.72727275,0.3,0.3,11,0,5,6,0,0,5,0,0,0,1,0,0,0,0,1,0,0,1,100,17,2,10,0,0,0,7,29,2,9,5,0,0,0,27,0,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_stack_and_queue\linkedlist_queue.java,chapter_stack_and_queue.LinkedListQueue,class,3,5,2,3,11,1,0,3,0,0.5238095,0.3809524,0.47619048,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,0,0,0,45,5,1,2,0,0,0,3,15,0,8,1,0,0,0,26,0,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_heap\my_heap.java,chapter_heap.MaxHeap,class,2,4,2,2,25,1,0,15,6,0.30769232,0.71428573,0.71428573,13,0,7,6,0,0,7,0,0,0,1,0,0,1,0,0,0,0,1,69,8,3,2,0,1,0,16,13,11,11,2,0,0,1,35,0,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_searching\binary_search.java,chapter_searching.binary_search,class,2,3,1,2,9,1,0,3,3,0.0,0.0,0.0,3,3,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2,30,4,2,0,0,2,2,21,14,12,9,3,0,0,0,15,1,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_stack_and_queue\linkedlist_queue.java,chapter_stack_and_queue.linkedlist_queue,class,1,1,0,1,1,1,0,8,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0,0,6,5,5,5,5,0,0,0,0,12,1,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\utils\TreeNode.java,utils.TreeNode,class,1,17,16,1,10,1,0,6,6,0.70000005,0.0,0.0,5,4,3,2,0,0,3,0,0,0,4,0,4,0,0,0,0,0,6,35,5,1,2,0,0,0,11,5,8,6,1,0,0,0,19,1,0
